Navn;Stasjon;Tid(norsk normaltid);Homogenisert middeltemperatur (mnd);Nedbør (mnd)
Bergen - Florida;SN50540;09.1976;10,4;-
Bergen - Florida;SN50540;10.1976;9,2;-
Bergen - Florida;SN50540;11.1976;5,6;-
Bergen - Florida;SN50540;12.1976;0;-
Bergen - Florida;SN50540;01.1977;1;-
Bergen - Florida;SN50540;02.1977;0,7;-
Bergen - Florida;SN50540;03.1977;4,6;-
Bergen - Florida;SN50540;04.1977;3,9;-
Bergen - Florida;SN50540;05.1977;10;-
Bergen - Florida;SN50540;06.1977;11,8;-
Bergen - Florida;SN50540;07.1977;13,8;-
Bergen - Florida;SN50540;08.1977;14,4;-
Bergen - Florida;SN50540;09.1977;10,4;-
Bergen - Florida;SN50540;10.1977;10;-
Bergen - Florida;SN50540;11.1977;4,4;-
Bergen - Florida;SN50540;12.1977;4,6;-
Bergen - Florida;SN50540;01.1978;2,5;-
Bergen - Florida;SN50540;02.1978;-0,5;-
Bergen - Florida;SN50540;03.1978;3,3;-
Bergen - Florida;SN50540;04.1978;5,3;-
Bergen - Florida;SN50540;05.1978;11;-
Bergen - Florida;SN50540;06.1978;13,9;-
Bergen - Florida;SN50540;07.1978;14,1;-
Bergen - Florida;SN50540;08.1978;14,5;-
Bergen - Florida;SN50540;09.1978;10,5;-
Bergen - Florida;SN50540;10.1978;8,7;-
Bergen - Florida;SN50540;11.1978;5,7;-
Bergen - Florida;SN50540;12.1978;-0,6;-
Bergen - Florida;SN50540;01.1979;-1,8;-
Bergen - Florida;SN50540;02.1979;-0,6;-
Bergen - Florida;SN50540;03.1979;2,3;-
Bergen - Florida;SN50540;04.1979;6,2;-
Bergen - Florida;SN50540;05.1979;7,8;-
Bergen - Florida;SN50540;06.1979;12,8;-
Bergen - Florida;SN50540;07.1979;12,5;-
Bergen - Florida;SN50540;08.1979;13,3;-
Bergen - Florida;SN50540;09.1979;10,3;-
Bergen - Florida;SN50540;10.1979;7,9;-
Bergen - Florida;SN50540;11.1979;4,4;-
Bergen - Florida;SN50540;12.1979;1,8;-
Bergen - Florida;SN50540;01.1980;0,6;-
Bergen - Florida;SN50540;02.1980;0,8;-
Bergen - Florida;SN50540;03.1980;1,9;-
Bergen - Florida;SN50540;04.1980;6,4;-
Bergen - Florida;SN50540;05.1980;10,8;-
Bergen - Florida;SN50540;06.1980;15;-
Bergen - Florida;SN50540;07.1980;16,7;-
Bergen - Florida;SN50540;08.1980;14,8;-
Bergen - Florida;SN50540;09.1980;12,6;-
Bergen - Florida;SN50540;10.1980;6,4;-
Bergen - Florida;SN50540;11.1980;3;-
Bergen - Florida;SN50540;12.1980;3,1;-
Bergen - Florida;SN50540;01.1981;0,6;-
Bergen - Florida;SN50540;02.1981;1;-
Bergen - Florida;SN50540;03.1981;2,8;-
Bergen - Florida;SN50540;04.1981;5;-
Bergen - Florida;SN50540;05.1981;12,6;-
Bergen - Florida;SN50540;06.1981;11,6;-
Bergen - Florida;SN50540;07.1981;13,8;-
Bergen - Florida;SN50540;08.1981;13,3;-
Bergen - Florida;SN50540;09.1981;13,3;-
Bergen - Florida;SN50540;10.1981;7,4;-
Bergen - Florida;SN50540;11.1981;4,5;-
Bergen - Florida;SN50540;12.1981;-3,1;-
