gbifID;datasetKey;occurrenceID;kingdom;phylum;class;order;family;genus;species;infraspecificEpithet;taxonRank;scientificName;verbatimScientificName;verbatimScientificNameAuthorship;countryCode;locality;stateProvince;occurrenceStatus;individualCount;publishingOrgKey;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;coordinatePrecision;elevation;elevationAccuracy;depth;depthAccuracy;eventDate;day;month;year;taxonKey;speciesKey;basisOfRecord;institutionCode;collectionCode;catalogNumber;recordNumber;identifiedBy;dateIdentified;license;rightsHolder;recordedBy;typeStatus;establishmentMeans;lastInterpreted;mediaType;issue
897138823;b211f32f-326b-43d3-8012-2fbce0cc6dcc;http://arctos.database.museum/guid/MSB:Host:3626?seid=1856548;Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;Vulpes lagopus;;SPECIES;Alopex lagopus (Linnaeus, 1758);Alopex lagopus;;US;Gambell, Saint Lawrence Island;Alaska;PRESENT;;939ed180-aa7b-11db-8edf-b8a03c50a862;63.77972;-171.74111;5154.0;;;;;;1954-12-12T00:00:00;12;12;1954;2434532;5219303;PRESERVED_SPECIMEN;MSB;Host;MSB:Host:3626;14404;;1954-12-12T00:00:00;CC0_1_0;;Collector(s): Robert L. Rausch;;;2023-09-07T10:00:09.928Z;;GEODETIC_DATUM_ASSUMED_WGS84
897138816;b211f32f-326b-43d3-8012-2fbce0cc6dcc;http://arctos.database.museum/guid/MSB:Host:2919?seid=1855841;Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;Vulpes lagopus;;SPECIES;Alopex lagopus (Linnaeus, 1758);Alopex lagopus;;US;Gambell, Saint Lawrence Island;Alaska;PRESENT;;939ed180-aa7b-11db-8edf-b8a03c50a862;63.77972;-171.74111;5154.0;;;;;;1954-12-01T00:00:00;1;12;1954;2434532;5219303;PRESERVED_SPECIMEN;MSB;Host;MSB:Host:2919;13964;;1954-12-31T00:00:00;CC0_1_0;;Collector(s): Robert L. Rausch;;;2023-09-07T10:00:09.953Z;;GEODETIC_DATUM_ASSUMED_WGS84
897138810;b211f32f-326b-43d3-8012-2fbce0cc6dcc;http://arctos.database.museum/guid/MSB:Host:2787?seid=1855709;Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;Vulpes lagopus;;SPECIES;Alopex lagopus (Linnaeus, 1758);Alopex lagopus;;US;Gambell, Saint Lawrence Island;Alaska;PRESENT;;939ed180-aa7b-11db-8edf-b8a03c50a862;63.77972;-171.74111;5154.0;;;;;;1953-12-08T00:00:00;8;12;1953;2434532;5219303;PRESERVED_SPECIMEN;MSB;Host;MSB:Host:2787;12862;;1953-12-08T00:00:00;CC0_1_0;;Collector(s): Robert L. Rausch;;;2023-09-07T10:00:08.880Z;;GEODETIC_DATUM_ASSUMED_WGS84
897138807;b211f32f-326b-43d3-8012-2fbce0cc6dcc;http://arctos.database.museum/guid/MSB:Host:2832?seid=1855754;Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;Vulpes lagopus;;SPECIES;Alopex lagopus (Linnaeus, 1758);Alopex lagopus;;US;Savoonga, Saint Lawrence Island;Alaska;PRESENT;;939ed180-aa7b-11db-8edf-b8a03c50a862;63.681996;-170.482323;8000.0;;;;;;1953-12-08T00:00:00;8;12;1953;2434532;5219303;PRESERVED_SPECIMEN;MSB;Host;MSB:Host:2832;12907;;1953-12-08T00:00:00;CC0_1_0;;Collector(s): Robert L. Rausch;;;2023-09-07T10:00:09.808Z;;GEODETIC_DATUM_ASSUMED_WGS84
897138797;b211f32f-326b-43d3-8012-2fbce0cc6dcc;http://arctos.database.museum/guid/MSB:Host:3625?seid=1856547;Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;Vulpes lagopus;;SPECIES;Alopex lagopus (Linnaeus, 1758);Alopex lagopus;;US;Gambell, Saint Lawrence Island;Alaska;PRESENT;;939ed180-aa7b-11db-8edf-b8a03c50a862;63.77972;-171.74111;5154.0;;;;;;1954-12-12T00:00:00;12;12;1954;2434532;5219303;PRESERVED_SPECIMEN;MSB;Host;MSB:Host:3625;14403;;1954-12-12T00:00:00;CC0_1_0;;Collector(s): Robert L. Rausch;;;2023-09-07T10:00:09.817Z;;GEODETIC_DATUM_ASSUMED_WGS84
897138787;b211f32f-326b-43d3-8012-2fbce0cc6dcc;http://arctos.database.museum/guid/MSB:Host:2786?seid=1855708;Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;Vulpes lagopus;;SPECIES;Alopex lagopus (Linnaeus, 1758);Alopex lagopus;;US;Gambell, Saint Lawrence Island;Alaska;PRESENT;;939ed180-aa7b-11db-8edf-b8a03c50a862;63.77972;-171.74111;5154.0;;;;;;1953-12-08T00:00:00;8;12;1953;2434532;5219303;PRESERVED_SPECIMEN;MSB;Host;MSB:Host:2786;12861;;1953-12-08T00:00:00;CC0_1_0;;Collector(s): Robert L. Rausch;;;2023-09-07T10:00:09.981Z;;GEODETIC_DATUM_ASSUMED_WGS84
897138782;b211f32f-326b-43d3-8012-2fbce0cc6dcc;http://arctos.database.museum/guid/MSB:Host:2831?seid=1855753;Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;Vulpes lagopus;;SPECIES;Alopex lagopus (Linnaeus, 1758);Alopex lagopus;;US;Savoonga, Saint Lawrence Island;Alaska;PRESENT;;939ed180-aa7b-11db-8edf-b8a03c50a862;63.681996;-170.482323;8000.0;;;;;;1953-12-19T00:00:00;19;12;1953;2434532;5219303;PRESERVED_SPECIMEN;MSB;Host;MSB:Host:2831;12906;;1953-12-19T00:00:00;CC0_1_0;;Collector(s): Robert L. Rausch;;;2023-09-07T10:00:09.859Z;;GEODETIC_DATUM_ASSUMED_WGS84
897138773;b211f32f-326b-43d3-8012-2fbce0cc6dcc;http://arctos.database.museum/guid/MSB:Host:3624?seid=1856546;Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;Vulpes lagopus;;SPECIES;Alopex lagopus (Linnaeus, 1758);Alopex lagopus;;US;Gambell, Saint Lawrence Island;Alaska;PRESENT;;939ed180-aa7b-11db-8edf-b8a03c50a862;63.77972;-171.74111;5154.0;;;;;;1954-12-12T00:00:00;12;12;1954;2434532;5219303;PRESERVED_SPECIMEN;MSB;Host;MSB:Host:3624;14402;;1954-12-12T00:00:00;CC0_1_0;;Collector(s): Robert L. Rausch;;;2023-09-07T10:00:09.948Z;;GEODETIC_DATUM_ASSUMED_WGS84
897138767;b211f32f-326b-43d3-8012-2fbce0cc6dcc;http://arctos.database.museum/guid/MSB:Host:2785?seid=1855707;Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;Vulpes lagopus;;SPECIES;Alopex lagopus (Linnaeus, 1758);Alopex lagopus;;US;Gambell, Saint Lawrence Island;Alaska;PRESENT;;939ed180-aa7b-11db-8edf-b8a03c50a862;63.77972;-171.74111;5154.0;;;;;;1953-12-08T00:00:00;8;12;1953;2434532;5219303;PRESERVED_SPECIMEN;MSB;Host;MSB:Host:2785;12860;;1953-12-08T00:00:00;CC0_1_0;;Collector(s): Robert L. Rausch;;;2023-09-07T10:00:08.910Z;;GEODETIC_DATUM_ASSUMED_WGS84
897138757;b211f32f-326b-43d3-8012-2fbce0cc6dcc;http://arctos.database.museum/guid/MSB:Host:2830?seid=1855752;Animalia;Chordata;Mammalia;Carnivora;Canidae;Vulpes;Vulpes lagopus;;SPECIES;Alopex lagopus (Linnaeus, 1758);Alopex lagopus;;US;Savoonga, Saint Lawrence Island;Alaska;PRESENT;;939ed180-aa7b-11db-8edf-b8a03c50a862;63.681996;-170.482323;8000.0;;;;;;1953-12-11T00:00:00;11;12;1953;2434532;5219303;PRESERVED_SPECIMEN;MSB;Host;MSB:Host:2830;12905;;1953-12-11T00:00:00;CC0_1_0;;Collector(s): Robert L. Rausch;;;2023-09-07T10:00:09.959Z;;GEODETIC_DATUM_ASSUMED_WGS84
